cap_shape	cap_surface	cap_color	bruises	odor	gill_attachment	gill_spacing	gill_size	gill_color	stalk_shape	stalk_root	stalk_surface_above_ring	stalk_surface_below_ring	stalk_color_above_ring	stalk_color_below_ring	veil_type	veil_color	ring_number	ring_type	spore_print_color	population	habitat	can_eat
f	f	e	t	n	f	c	b	u	t	b	s	s	w	p	p	w	o	p	k	v	d	yes
x	s	g	f	c	f	c	n	g	e	b	s	s	w	w	p	w	o	p	n	s	d	no
x	f	w	f	c	f	c	n	u	e	b	s	s	w	w	p	w	o	p	n	v	d	no
x	f	g	f	f	f	c	b	h	e	b	k	k	p	b	p	w	o	l	h	y	g	no
f	y	g	t	n	f	c	b	n	t	b	s	s	w	p	p	w	o	p	n	v	d	yes
f	f	e	t	n	f	c	b	n	t	b	s	s	g	g	p	w	o	p	k	v	d	yes
f	f	y	f	f	f	c	b	p	e	b	k	k	b	p	p	w	o	l	h	y	p	no
f	f	e	t	n	f	c	b	u	t	b	s	s	g	w	p	w	o	p	k	y	d	yes
f	y	e	t	n	f	c	b	w	t	b	s	s	w	p	p	w	o	p	n	v	d	yes
f	f	g	t	n	f	c	b	u	t	b	s	s	p	w	p	w	o	p	n	v	d	yes
f	y	e	t	n	f	c	b	n	t	b	s	s	g	w	p	w	o	p	n	y	d	yes
f	f	g	t	n	f	c	b	u	t	b	s	s	w	p	p	w	o	p	k	v	d	yes
f	y	n	t	n	f	c	b	u	t	b	s	s	w	p	p	w	o	p	k	y	d	yes
f	y	e	t	n	f	c	b	w	t	b	s	s	p	w	p	w	o	p	k	v	d	yes
f	y	n	t	n	f	c	b	w	t	b	s	s	g	g	p	w	o	p	n	v	d	yes
f	f	e	t	n	f	c	b	n	t	b	s	s	p	p	p	w	o	p	n	y	d	yes
f	s	w	t	f	f	c	b	p	t	b	s	f	w	w	p	w	o	p	h	s	u	no
x	f	y	f	f	f	c	b	p	e	b	k	k	n	n	p	w	o	l	h	v	d	no
f	y	g	f	f	f	c	b	p	e	b	k	k	p	n	p	w	o	l	h	v	p	no
x	y	g	f	f	f	c	b	p	e	b	k	k	p	p	p	w	o	l	h	y	p	no
f	y	y	f	f	f	c	b	g	e	b	k	k	p	b	p	w	o	l	h	v	p	no
x	s	b	t	f	f	c	b	w	t	b	f	f	w	w	p	w	o	p	h	v	g	no
f	y	y	f	f	f	c	b	h	e	b	k	k	p	b	p	w	o	l	h	y	d	no
f	y	p	t	n	f	c	b	g	e	b	s	s	w	w	p	w	t	p	r	v	m	no
f	y	w	t	n	f	c	b	w	e	b	s	s	w	w	p	w	t	p	r	v	m	no
f	y	y	f	f	f	c	b	g	e	b	k	k	b	b	p	w	o	l	h	y	p	no
f	y	y	f	f	f	c	b	h	e	b	k	k	p	b	p	w	o	l	h	v	g	no
x	s	w	t	f	f	c	b	p	t	b	s	f	w	w	p	w	o	p	h	s	g	no
x	s	w	t	f	f	c	b	p	t	b	f	f	w	w	p	w	o	p	h	s	g	no
x	s	b	t	f	f	c	b	p	t	b	f	s	w	w	p	w	o	p	h	s	u	no
x	s	g	t	f	f	c	b	h	t	b	s	s	w	w	p	w	o	p	h	v	g	no
f	y	y	f	f	f	c	b	p	e	b	k	k	p	p	p	w	o	l	h	y	g	no
c	y	w	t	n	f	w	n	w	e	b	s	s	w	w	p	w	o	p	w	c	l	no
f	s	w	t	f	f	c	b	p	t	b	f	f	w	w	p	w	o	p	h	v	g	no
f	s	g	t	f	f	c	b	w	t	b	s	f	w	w	p	w	o	p	h	s	g	no
x	s	g	t	f	f	c	b	w	t	b	s	s	w	w	p	w	o	p	h	s	g	no
f	y	y	f	f	f	c	b	h	e	b	k	k	b	p	p	w	o	l	h	y	g	no
x	f	y	f	f	f	c	b	g	e	b	k	k	p	n	p	w	o	l	h	y	d	no
x	s	g	t	f	f	c	b	h	t	b	s	f	w	w	p	w	o	p	h	v	u	no
k	f	n	f	n	f	w	n	w	e	b	s	f	w	n	p	w	o	e	w	v	l	yes
x	s	w	t	f	f	c	b	p	t	b	f	s	w	w	p	w	o	p	h	v	u	no
f	y	y	f	f	f	c	b	p	e	b	k	k	n	p	p	w	o	l	h	y	p	no
b	y	b	t	n	f	c	b	r	e	b	s	s	w	w	p	w	t	p	r	v	m	no
f	y	g	f	f	f	c	b	h	e	b	k	k	b	b	p	w	o	l	h	v	p	no
f	s	b	t	f	f	c	b	p	t	b	f	f	w	w	p	w	o	p	h	v	g	no
f	y	y	f	f	f	c	b	g	e	b	k	k	n	n	p	w	o	l	h	v	d	no
f	s	w	t	f	f	c	b	w	t	b	s	f	w	w	p	w	o	p	h	v	g	no
x	f	y	f	f	f	c	b	g	e	b	k	k	n	p	p	w	o	l	h	y	g	no
f	y	y	f	f	f	c	b	g	e	b	k	k	n	n	p	w	o	l	h	y	d	no
f	y	y	f	f	f	c	b	g	e	b	k	k	n	n	p	w	o	l	h	y	g	no
f	s	w	t	f	f	c	b	p	t	b	s	f	w	w	p	w	o	p	h	v	u	no
k	y	c	f	n	f	w	n	w	e	b	s	s	w	n	p	w	o	e	w	v	l	yes
k	y	n	f	n	f	w	n	w	e	b	s	s	w	n	p	w	o	e	w	v	l	yes
b	s	p	t	n	f	c	b	r	e	b	s	s	w	w	p	w	t	p	r	v	m	no
x	s	b	t	f	f	c	b	h	t	b	s	f	w	w	p	w	o	p	h	s	u	no
x	s	b	t	f	f	c	b	w	t	b	f	f	w	w	p	w	o	p	h	s	g	no
x	s	w	t	f	f	c	b	p	t	b	s	s	w	w	p	w	o	p	h	v	u	no
x	s	w	t	f	f	c	b	p	t	b	s	s	w	w	p	w	o	p	h	v	g	no
f	y	y	f	f	f	c	b	p	e	b	k	k	p	n	p	w	o	l	h	v	p	no
x	s	w	t	f	f	c	b	w	t	b	s	f	w	w	p	w	o	p	h	v	u	no
x	y	y	f	f	f	c	b	h	e	b	k	k	b	p	p	w	o	l	h	v	g	no
f	s	b	t	n	f	c	b	g	e	b	s	s	w	w	p	w	t	p	r	v	m	no
f	f	y	f	f	f	c	b	h	e	b	k	k	b	p	p	w	o	l	h	v	p	no
x	s	g	t	f	f	c	b	p	t	b	s	f	w	w	p	w	o	p	h	v	g	no
b	y	w	t	n	f	c	b	r	e	b	s	s	w	w	p	w	t	p	r	v	m	no
f	y	y	f	f	f	c	b	g	e	b	k	k	b	b	p	w	o	l	h	v	d	no
x	s	b	t	f	f	c	b	h	t	b	s	f	w	w	p	w	o	p	h	s	g	no
x	s	b	t	f	f	c	b	h	t	b	s	s	w	w	p	w	o	p	h	v	g	no
b	y	p	t	n	f	c	b	g	e	b	s	s	w	w	p	w	t	p	r	v	g	no
x	y	c	f	n	f	w	n	w	e	b	s	s	w	n	p	w	o	e	w	v	l	yes
x	s	w	t	f	f	c	b	w	t	b	s	s	w	w	p	w	o	p	h	s	u	no
f	y	n	f	n	f	w	n	w	e	b	f	s	w	n	p	w	o	e	w	v	l	yes
f	s	g	t	f	f	c	b	p	t	b	s	s	w	w	p	w	o	p	h	s	u	no
b	y	p	t	n	f	c	b	w	e	b	s	s	w	w	p	w	t	p	r	v	m	no
f	s	g	t	f	f	c	b	w	t	b	f	f	w	w	p	w	o	p	h	v	g	no
f	y	y	f	f	f	c	b	p	e	b	k	k	p	b	p	w	o	l	h	v	p	no
f	y	p	t	n	f	c	b	r	e	b	s	s	w	w	p	w	t	p	r	v	m	no
f	s	b	t	f	f	c	b	p	t	b	s	s	w	w	p	w	o	p	h	v	u	no
x	y	c	f	n	f	w	n	w	e	b	s	f	w	n	p	w	o	e	w	v	l	yes
f	y	n	f	n	f	w	n	w	e	b	s	s	w	n	p	w	o	e	w	v	l	yes
f	s	w	t	n	f	c	b	r	e	b	s	s	w	w	p	w	t	p	r	v	m	no
f	y	y	f	f	f	c	b	g	e	b	k	k	n	n	p	w	o	l	h	v	g	no
k	y	n	f	n	f	w	n	w	e	b	s	f	w	n	p	w	o	e	w	v	l	yes
f	s	g	t	f	f	c	b	p	t	b	f	s	w	w	p	w	o	p	h	v	g	no
f	s	w	t	n	f	c	b	r	e	b	s	s	w	w	p	w	t	p	r	v	g	no
f	f	g	f	f	f	c	b	h	e	b	k	k	n	p	p	w	o	l	h	y	g	no
x	f	y	f	f	f	c	b	p	e	b	k	k	p	p	p	w	o	l	h	y	d	no
f	y	y	f	f	f	c	b	g	e	b	k	k	p	n	p	w	o	l	h	v	g	no
b	s	w	t	n	f	c	b	g	e	b	s	s	w	w	p	w	t	p	r	v	g	no
x	s	b	t	f	f	c	b	p	t	b	s	f	w	w	p	w	o	p	h	v	u	no
x	f	c	f	n	f	w	n	w	e	b	s	f	w	n	p	w	o	e	w	v	l	yes
f	s	w	t	f	f	c	b	h	t	b	f	s	w	w	p	w	o	p	h	v	u	no
x	f	y	f	f	f	c	b	h	e	b	k	k	p	b	p	w	o	l	h	y	g	no
f	s	g	t	f	f	c	b	h	t	b	f	s	w	w	p	w	o	p	h	v	g	no
f	y	y	f	f	f	c	b	g	e	b	k	k	b	b	p	w	o	l	h	v	p	no
f	s	b	t	f	f	c	b	p	t	b	f	s	w	w	p	w	o	p	h	v	g	no
x	y	n	f	n	f	w	n	w	e	b	s	s	w	n	p	w	o	e	w	v	l	yes
f	y	y	f	f	f	c	b	g	e	b	k	k	p	n	p	w	o	l	h	v	d	no
f	f	g	f	f	f	c	b	g	e	b	k	k	b	n	p	w	o	l	h	v	d	no
b	y	b	t	n	f	c	b	r	e	b	s	s	w	w	p	w	t	p	r	v	g	no
f	y	y	f	f	f	c	b	p	e	b	k	k	b	n	p	w	o	l	h	y	p	no
f	f	y	f	f	f	c	b	g	e	b	k	k	n	p	p	w	o	l	h	v	p	no
f	y	w	t	n	f	c	b	g	e	b	s	s	w	w	p	w	t	p	r	v	g	no
f	y	y	f	f	f	c	b	g	e	b	k	k	n	n	p	w	o	l	h	v	p	no
f	y	g	f	f	f	c	b	g	e	b	k	k	p	n	p	w	o	l	h	y	p	no
f	y	y	f	f	f	c	b	g	e	b	k	k	p	b	p	w	o	l	h	v	g	no
f	s	w	t	f	f	c	b	w	t	b	f	s	w	w	p	w	o	p	h	v	u	no
x	s	w	t	f	f	c	b	w	t	b	f	f	w	w	p	w	o	p	h	s	g	no
f	y	g	f	f	f	c	b	h	e	b	k	k	p	p	p	w	o	l	h	y	d	no
f	y	y	f	f	f	c	b	p	e	b	k	k	n	n	p	w	o	l	h	y	g	no
f	y	y	f	f	f	c	b	p	e	b	k	k	n	n	p	w	o	l	h	y	p	no
x	y	y	f	f	f	c	b	h	e	b	k	k	p	n	p	w	o	l	h	v	g	no
f	s	b	t	f	f	c	b	p	t	b	s	f	w	w	p	w	o	p	h	v	g	no
x	y	g	f	f	f	c	b	g	e	b	k	k	p	p	p	w	o	l	h	v	d	no
f	s	g	t	f	f	c	b	w	t	b	f	f	w	w	p	w	o	p	h	s	u	no
x	s	w	t	f	f	c	b	p	t	b	f	s	w	w	p	w	o	p	h	v	g	no
f	g	w	t	n	f	w	n	w	e	b	s	s	w	w	p	w	o	p	w	c	l	no
x	s	g	t	f	f	c	b	p	t	b	f	s	w	w	p	w	o	p	h	v	u	no
f	y	c	f	n	f	w	n	w	e	b	f	s	w	n	p	w	o	e	w	v	l	yes
x	y	g	f	f	f	c	b	p	e	b	k	k	p	b	p	w	o	l	h	y	g	no
f	y	y	f	f	f	c	b	g	e	b	k	k	b	p	p	w	o	l	h	v	d	no
f	y	y	f	f	f	c	b	p	e	b	k	k	b	p	p	w	o	l	h	y	p	no
x	s	b	t	f	f	c	b	w	t	b	f	s	w	w	p	w	o	p	h	v	g	no
x	s	g	t	f	f	c	b	h	t	b	s	f	w	w	p	w	o	p	h	s	g	no
k	y	c	f	n	f	w	n	w	e	b	s	f	w	n	p	w	o	e	w	v	l	yes
x	s	w	t	f	f	c	b	w	t	b	s	f	w	w	p	w	o	p	h	s	u	no
x	s	w	t	f	f	c	b	h	t	b	s	f	w	w	p	w	o	p	h	v	g	no
f	s	b	t	f	f	c	b	w	t	b	s	f	w	w	p	w	o	p	h	v	u	no
f	s	b	t	f	f	c	b	p	t	b	s	s	w	w	p	w	o	p	h	v	g	no
k	y	c	f	n	f	w	n	w	e	b	f	s	w	n	p	w	o	e	w	v	l	yes
x	y	g	f	f	f	c	b	g	e	b	k	k	n	n	p	w	o	l	h	v	d	no
f	s	w	t	f	f	c	b	h	t	b	f	f	w	w	p	w	o	p	h	v	g	no
f	s	g	t	f	f	c	b	w	t	b	s	s	w	w	p	w	o	p	h	s	u	no
c	g	w	t	n	f	w	n	w	e	b	s	s	w	w	p	w	o	p	w	c	l	no
x	s	g	t	f	f	c	b	p	t	b	s	f	w	w	p	w	o	p	h	s	u	no
b	g	w	t	n	f	w	n	w	e	b	s	s	w	w	p	w	o	p	w	c	l	no
x	s	b	t	f	f	c	b	p	t	b	s	s	w	w	p	w	o	p	h	v	g	no
f	s	w	t	f	f	c	b	h	t	b	f	f	w	w	p	w	o	p	h	s	u	no
f	s	w	t	f	f	c	b	w	t	b	s	s	w	w	p	w	o	p	h	v	g	no
f	s	b	t	n	f	c	b	w	e	b	s	s	w	w	p	w	t	p	r	v	m	no
f	y	y	f	f	f	c	b	p	e	b	k	k	b	b	p	w	o	l	h	y	p	no
x	y	g	f	f	f	c	b	p	e	b	k	k	p	n	p	w	o	l	h	y	g	no
f	s	b	t	n	f	c	b	r	e	b	s	s	w	w	p	w	t	p	r	v	g	no
f	f	g	f	f	f	c	b	p	e	b	k	k	b	b	p	w	o	l	h	y	d	no
x	f	y	f	f	f	c	b	g	e	b	k	k	p	b	p	w	o	l	h	y	g	no
f	f	n	f	n	f	w	n	w	e	b	s	f	w	n	p	w	o	e	w	v	l	yes
f	y	y	f	f	f	c	b	g	e	b	k	k	p	b	p	w	o	l	h	y	p	no
f	y	b	t	n	f	c	b	r	e	b	s	s	w	w	p	w	t	p	r	v	m	no
x	s	b	t	f	f	c	b	w	t	b	s	s	w	w	p	w	o	p	h	s	g	no
x	s	b	t	f	f	c	b	h	t	b	f	s	w	w	p	w	o	p	h	v	g	no
f	y	y	f	f	f	c	b	h	e	b	k	k	p	n	p	w	o	l	h	y	p	no
f	s	g	t	f	f	c	b	w	t	b	s	f	w	w	p	w	o	p	h	v	g	no
x	s	b	t	f	f	c	b	p	t	b	f	s	w	w	p	w	o	p	h	v	g	no
f	s	b	t	f	f	c	b	w	t	b	f	f	w	w	p	w	o	p	h	s	g	no
f	s	w	t	f	f	c	b	p	t	b	f	s	w	w	p	w	o	p	h	s	g	no
x	f	y	f	f	f	c	b	p	e	b	k	k	n	p	p	w	o	l	h	y	p	no
x	y	g	f	f	f	c	b	p	e	b	k	k	p	p	p	w	o	l	h	y	g	no
f	s	b	t	f	f	c	b	h	t	b	f	s	w	w	p	w	o	p	h	v	g	no
f	s	b	t	f	f	c	b	h	t	b	f	s	w	w	p	w	o	p	h	s	g	no
f	y	y	f	f	f	c	b	h	e	b	k	k	b	p	p	w	o	l	h	v	g	no
f	y	y	f	f	f	c	b	h	e	b	k	k	p	b	p	w	o	l	h	v	d	no
b	y	w	t	n	f	c	b	r	e	b	s	s	w	w	p	w	t	p	r	v	g	no
x	y	c	f	n	f	w	n	w	e	b	f	f	w	n	p	w	o	e	w	v	l	yes
x	s	b	t	f	f	c	b	h	t	b	f	s	w	w	p	w	o	p	h	v	u	no
x	s	g	t	f	f	c	b	w	t	b	f	s	w	w	p	w	o	p	h	v	g	no
f	y	y	f	f	f	c	b	g	e	b	k	k	b	p	p	w	o	l	h	y	d	no
x	s	b	t	f	f	c	b	w	t	b	f	s	w	w	p	w	o	p	h	v	u	no
x	s	w	t	f	f	c	b	p	t	b	s	s	w	w	p	w	o	p	h	s	g	no
f	y	c	f	n	f	w	n	w	e	b	s	f	w	n	p	w	o	e	w	v	l	yes
f	f	y	f	f	f	c	b	h	e	b	k	k	n	p	p	w	o	l	h	y	d	no
x	y	y	f	f	f	c	b	p	e	b	k	k	b	p	p	w	o	l	h	v	p	no
f	y	p	t	n	f	c	b	w	e	b	s	s	w	w	p	w	t	p	r	v	g	no
f	s	g	t	f	f	c	b	h	t	b	f	s	w	w	p	w	o	p	h	v	u	no
x	y	g	f	f	f	c	b	g	e	b	k	k	n	b	p	w	o	l	h	v	p	no
f	s	b	t	f	f	c	b	h	t	b	f	f	w	w	p	w	o	p	h	s	u	no
x	f	y	f	f	f	c	b	h	e	b	k	k	p	b	p	w	o	l	h	v	p	no
f	y	g	f	f	f	c	b	g	e	b	k	k	n	n	p	w	o	l	h	v	g	no
f	f	g	f	f	f	c	b	g	e	b	k	k	n	p	p	w	o	l	h	y	d	no
x	s	b	t	f	f	c	b	p	t	b	s	f	w	w	p	w	o	p	h	s	g	no
x	y	y	f	f	f	c	b	p	e	b	k	k	p	p	p	w	o	l	h	v	d	no
f	f	y	f	f	f	c	b	h	e	b	k	k	n	n	p	w	o	l	h	v	d	no
f	y	y	f	f	f	c	b	h	e	b	k	k	p	n	p	w	o	l	h	v	g	no
x	s	g	t	f	f	c	b	h	t	b	f	f	w	w	p	w	o	p	h	s	u	no
x	y	g	f	f	f	c	b	g	e	b	k	k	p	p	p	w	o	l	h	v	p	no
x	s	g	t	f	f	c	b	p	t	b	s	s	w	w	p	w	o	p	h	v	u	no
x	s	g	t	f	f	c	b	h	t	b	f	s	w	w	p	w	o	p	h	v	g	no
f	y	p	t	n	f	c	b	w	e	b	s	s	w	w	p	w	t	p	r	v	m	no
x	s	w	t	f	f	c	b	w	t	b	s	s	w	w	p	w	o	p	h	v	u	no
f	y	y	f	f	f	c	b	g	e	b	k	k	n	p	p	w	o	l	h	y	d	no
f	s	g	t	f	f	c	b	p	t	b	f	f	w	w	p	w	o	p	h	s	u	no
f	s	b	t	f	f	c	b	h	t	b	f	f	w	w	p	w	o	p	h	v	g	no
x	s	b	t	f	f	c	b	w	t	b	s	s	w	w	p	w	o	p	h	s	u	no
k	f	c	f	n	f	w	n	w	e	b	f	f	w	n	p	w	o	e	w	v	l	yes
x	y	y	f	f	f	c	b	h	e	b	k	k	b	n	p	w	o	l	h	v	g	no
f	f	g	f	f	f	c	b	p	e	b	k	k	b	p	p	w	o	l	h	y	p	no
f	y	y	f	f	f	c	b	p	e	b	k	k	n	b	p	w	o	l	h	v	d	no
f	s	g	t	f	f	c	b	w	t	b	s	f	w	w	p	w	o	p	h	v	u	no
k	y	w	t	n	f	w	n	w	e	b	s	s	w	w	p	w	o	p	w	c	l	no
k	f	n	f	n	f	w	n	w	e	b	f	f	w	n	p	w	o	e	w	v	l	yes
f	s	w	t	f	f	c	b	w	t	b	f	f	w	w	p	w	o	p	h	s	g	no
f	y	y	f	f	f	c	b	g	e	b	k	k	p	p	p	w	o	l	h	v	d	no
f	y	y	f	f	f	c	b	p	e	b	k	k	p	p	p	w	o	l	h	v	p	no
x	y	y	f	f	f	c	b	h	e	b	k	k	p	b	p	w	o	l	h	y	d	no
x	y	y	f	f	f	c	b	p	e	b	k	k	p	p	p	w	o	l	h	v	p	no
b	y	w	t	n	f	c	b	w	e	b	s	s	w	w	p	w	t	p	r	v	g	no
f	y	y	f	f	f	c	b	g	e	b	k	k	p	b	p	w	o	l	h	y	g	no
x	s	w	t	f	f	c	b	p	t	b	s	f	w	w	p	w	o	p	h	v	g	no
x	s	b	t	f	f	c	b	w	t	b	s	s	w	w	p	w	o	p	h	v	g	no
f	y	y	f	f	f	c	b	g	e	b	k	k	b	n	p	w	o	l	h	v	p	no
x	s	b	t	f	f	c	b	p	t	b	f	f	w	w	p	w	o	p	h	s	g	no
b	y	b	t	n	f	c	b	w	e	b	s	s	w	w	p	w	t	p	r	v	m	no
x	s	w	t	f	f	c	b	w	t	b	s	f	w	w	p	w	o	p	h	v	g	no
f	s	g	t	f	f	c	b	w	t	b	f	s	w	w	p	w	o	p	h	s	u	no
f	s	g	t	f	f	c	b	p	t	b	s	s	w	w	p	w	o	p	h	v	g	no
f	y	y	f	f	f	c	b	g	e	b	k	k	p	n	p	w	o	l	h	y	d	no
f	s	b	t	f	f	c	b	p	t	b	s	f	w	w	p	w	o	p	h	s	u	no
x	y	e	f	m	f	c	b	w	e	c	k	y	c	c	p	w	n	n	w	c	d	no
k	y	c	f	m	a	c	b	w	e	c	k	y	c	c	p	w	n	n	w	c	d	no
k	y	n	f	m	f	c	b	w	e	c	k	y	c	c	p	w	n	n	w	c	d	no
x	y	c	t	n	f	c	b	w	e	b	s	s	w	w	p	w	t	p	w	y	p	yes
b	y	y	f	n	f	w	n	y	e	c	y	y	y	y	p	y	o	e	w	c	l	no
x	y	p	t	n	f	c	b	w	e	b	s	s	w	w	p	w	t	p	w	y	p	yes
f	y	n	t	n	f	c	b	w	e	b	s	s	w	w	p	w	t	p	w	v	p	yes
f	y	e	f	m	a	c	b	w	e	c	k	y	c	c	p	w	n	n	w	c	d	no
b	s	n	f	n	f	c	b	w	e	b	y	y	n	n	p	w	t	p	w	y	d	yes
x	s	n	f	n	f	c	b	w	e	b	y	y	n	n	p	w	t	p	w	y	d	yes
b	s	n	f	n	f	c	b	w	e	b	y	y	n	n	p	w	t	p	w	y	p	yes
k	y	e	f	m	f	c	b	y	e	c	k	y	c	c	p	w	n	n	w	c	d	no
f	s	g	t	n	f	c	b	w	e	b	s	s	w	w	p	w	t	p	w	v	p	yes
k	y	c	f	m	f	c	b	w	e	c	k	y	c	c	p	w	n	n	w	c	d	no
x	s	p	t	n	f	c	b	w	e	b	s	s	w	w	p	w	t	p	w	y	p	yes
x	y	n	f	m	a	c	b	w	e	c	k	y	c	c	p	w	n	n	w	c	d	no
f	s	c	t	n	f	c	b	w	e	b	s	s	w	w	p	w	t	p	w	y	p	yes
f	y	n	f	m	f	c	b	w	e	c	k	y	c	c	p	w	n	n	w	c	d	no
x	y	c	f	m	a	c	b	y	e	c	k	y	c	c	p	w	n	n	w	c	d	no
k	y	n	f	m	a	c	b	w	e	c	k	y	c	c	p	w	n	n	w	c	d	no
x	y	g	t	n	f	c	b	w	e	b	s	s	w	w	p	w	t	p	w	v	p	yes
f	y	c	f	m	f	c	b	w	e	c	k	y	c	c	p	w	n	n	w	c	d	no
f	y	n	f	m	f	c	b	y	e	c	k	y	c	c	p	w	n	n	w	c	d	no
f	y	c	t	n	f	c	b	w	e	b	s	s	w	w	p	w	t	p	w	y	p	yes
k	y	n	f	n	f	c	b	w	e	b	y	y	n	n	p	w	t	p	w	y	d	yes
f	y	e	f	m	f	c	b	y	e	c	k	y	c	c	p	w	n	n	w	c	d	no
f	y	n	f	m	a	c	b	w	e	c	k	y	c	c	p	w	n	n	w	c	d	no
x	y	e	f	m	a	c	b	y	e	c	k	y	c	c	p	w	n	n	w	c	d	no
f	y	n	f	n	f	c	b	w	e	b	y	y	n	n	p	w	t	p	w	y	d	yes
k	y	y	f	n	f	w	n	y	e	c	y	y	y	y	p	y	o	e	w	c	l	no
x	s	g	t	n	f	c	b	w	e	b	s	s	w	w	p	w	t	p	w	y	p	yes
x	y	n	f	m	f	c	b	y	e	c	k	y	c	c	p	w	n	n	w	c	d	no
f	y	e	f	m	f	c	b	w	e	c	k	y	c	c	p	w	n	n	w	c	d	no
k	y	c	f	m	f	c	b	y	e	c	k	y	c	c	p	w	n	n	w	c	d	no
f	y	p	t	n	f	c	b	w	e	b	s	s	w	w	p	w	t	p	w	y	p	yes
x	s	c	t	n	f	c	b	w	e	b	s	s	w	w	p	w	t	p	w	y	p	yes
f	y	y	f	n	f	w	n	w	e	c	y	y	y	y	p	y	o	e	w	c	l	no
x	y	c	f	m	a	c	b	w	e	c	k	y	c	c	p	w	n	n	w	c	d	no
x	y	p	t	n	f	c	b	w	e	b	s	s	w	w	p	w	t	p	w	v	p	yes
f	s	n	t	n	f	c	b	w	e	b	s	s	w	w	p	w	t	p	w	y	p	yes
k	y	n	f	m	f	c	b	y	e	c	k	y	c	c	p	w	n	n	w	c	d	no
c	y	y	f	n	f	w	n	y	e	c	y	y	y	y	p	y	o	e	w	c	l	no
x	s	g	t	n	f	c	b	w	e	b	s	s	w	w	p	w	t	p	w	v	p	yes
f	s	p	t	n	f	c	b	w	e	b	s	s	w	w	p	w	t	p	w	y	p	yes
f	y	n	t	n	f	c	b	w	e	b	s	s	w	w	p	w	t	p	w	y	p	yes
k	y	n	f	n	f	c	b	w	e	b	y	y	n	n	p	w	t	p	w	y	p	yes
x	y	e	f	m	a	c	b	w	e	c	k	y	c	c	p	w	n	n	w	c	d	no
k	y	n	f	m	a	c	b	y	e	c	k	y	c	c	p	w	n	n	w	c	d	no
f	s	n	t	n	f	c	b	w	e	b	s	s	w	w	p	w	t	p	w	v	p	yes
f	y	y	f	n	f	w	n	y	e	c	y	y	y	y	p	y	o	e	w	c	l	no
f	y	e	f	m	a	c	b	y	e	c	k	y	c	c	p	w	n	n	w	c	d	no
x	s	n	f	n	f	c	b	w	e	b	y	y	n	n	p	w	t	p	w	y	p	yes
f	y	c	f	m	f	c	b	y	e	c	k	y	c	c	p	w	n	n	w	c	d	no
f	s	p	t	n	f	c	b	w	e	b	s	s	w	w	p	w	t	p	w	v	p	yes
k	s	n	f	n	f	c	b	w	e	b	y	y	n	n	p	w	t	p	w	y	p	yes
x	s	n	t	n	f	c	b	w	e	b	s	s	w	w	p	w	t	p	w	v	p	yes
b	y	y	f	n	f	w	n	w	e	c	y	y	y	y	p	y	o	e	w	c	l	no
x	s	n	t	n	f	c	b	w	e	b	s	s	w	w	p	w	t	p	w	y	p	yes
x	y	e	f	m	f	c	b	y	e	c	k	y	c	c	p	w	n	n	w	c	d	no
f	y	c	t	n	f	c	b	w	e	b	s	s	w	w	p	w	t	p	w	v	p	yes
f	y	n	f	n	f	c	b	w	e	b	y	y	n	n	p	w	t	p	w	y	p	yes
f	s	g	t	n	f	c	b	w	e	b	s	s	w	w	p	w	t	p	w	y	p	yes
x	s	p	t	n	f	c	b	w	e	b	s	s	w	w	p	w	t	p	w	v	p	yes
c	y	y	f	n	f	w	n	w	e	c	y	y	y	y	p	y	o	e	w	c	l	no
k	y	e	f	m	a	c	b	y	e	c	k	y	c	c	p	w	n	n	w	c	d	no
x	y	c	f	m	f	c	b	w	e	c	k	y	c	c	p	w	n	n	w	c	d	no
b	y	n	f	n	f	c	b	w	e	b	y	y	n	n	p	w	t	p	w	y	d	yes
x	y	n	t	n	f	c	b	w	e	b	s	s	w	w	p	w	t	p	w	v	p	yes
x	y	n	f	m	a	c	b	y	e	c	k	y	c	c	p	w	n	n	w	c	d	no
k	y	y	f	n	f	w	n	w	e	c	y	y	y	y	p	y	o	e	w	c	l	no
k	s	n	f	n	f	c	b	w	e	b	y	y	n	n	p	w	t	p	w	y	d	yes
f	y	c	f	m	a	c	b	w	e	c	k	y	c	c	p	w	n	n	w	c	d	no
x	y	n	f	m	f	c	b	w	e	c	k	y	c	c	p	w	n	n	w	c	d	no
k	y	e	f	m	f	c	b	w	e	c	k	y	c	c	p	w	n	n	w	c	d	no
x	y	n	f	n	f	c	b	w	e	b	y	y	n	n	p	w	t	p	w	y	d	yes
f	y	g	t	n	f	c	b	w	e	b	s	s	w	w	p	w	t	p	w	v	p	yes
f	y	n	f	m	a	c	b	y	e	c	k	y	c	c	p	w	n	n	w	c	d	no
f	y	p	t	n	f	c	b	w	e	b	s	s	w	w	p	w	t	p	w	v	p	yes
f	s	n	f	n	f	c	b	w	e	b	y	y	n	n	p	w	t	p	w	y	p	yes
f	y	g	t	n	f	c	b	w	e	b	s	s	w	w	p	w	t	p	w	y	p	yes
k	y	e	f	m	a	c	b	w	e	c	k	y	c	c	p	w	n	n	w	c	d	no
x	y	c	t	n	f	c	b	w	e	b	s	s	w	w	p	w	t	p	w	v	p	yes
f	s	c	t	n	f	c	b	w	e	b	s	s	w	w	p	w	t	p	w	v	p	yes
